# single words - nimi pu
# single words - nimi ku lili
uF19A1	apeja	# apeja
uFFAC0	isipin	# isipin
uFFAC1	kapesi	# kapesi, default
uFFAC1	kapesi1	# kapesi, triangle with ma above
uFFAC2	kapesi2	# kapesi, triangle with horizontal and vertical
uFFAC3	kiki	# kiki
uFFAC4	linluwi	# linluwi, default
uFFAC4	linluwi1	# linluwi, without emitters
uFFBA5	linluwi2	# linluwi, with emitters
uF19A2	majuna	# majuna, default
uFFAB2	majuna1	# majuna, three rays
uFFAB3	majuna2	# majuna, five rays
uFFAC8	mulapisu	# mulapisu
uF19A0	pake	# pake
uF19A3	powe	# powe
uFFAC9	samu	# samu
uFFACA	unu	# unu
uFFACB	wa	# wa, default
uFFB1E	wa1	# wa, straight exclamation radical
uFFB1F	wa2	# wa, diagonal exclamation radical
uFFACC	ete	# ete, default
uFFACC	ete1	# ete, rectangle with dot above
uFFACD	ete2	# ete, sewi with arrow to dot above
uFFACF	kan	# kan
uFFAD0	kuntu	# kuntu
uFFAD1	loka	# loka, synonym of jalan
uFFAD2	misa	# misa, default
uFFAD2	misa1	# misa, no foot and no ear
uFFAD3	misa2	# misa, no foot and short ear
uFFAD4	misa3	# misa, no foot and long ear
uFFAD5	misa4	# misa, foot and no ear
uFFAD6	misa5	# misa, foot and short ear
uFFAD7	misa6	# misa, foot and long ear
uFFAD8	waleja	# waleja
uFFAD9	ewe	# ewe
uFFADA	kamalawala	# kamalawala
uFFADB	ke	# ke, default
uFFB20	ke1	# ke, straight exclamation radical
uFFB24	ke2	# ke, diagonal exclamation radical
uFFADF	kese	# kese
uFFAE1	kulijo	# kulijo
uFFAE2	likujo	# likujo
uFFAE3	neja	# neja
uFFAE4	oke	# oke
uFFAE5	pata	# pata
uFFAE6	peto	# peto
uFFAE7	po	# po
uFFAE8	polinpin	# polinpin
uFFAE9	pomotolo	# pomotolo
uFFAEB	san	# san
uFFAEC	soto	# soto
uFFAED	taki	# taki, default
uFFAED	taki1	# taki, magnet
uFFAEE	taki2	# taki, yinyang
uFFAF0	te	# te
uFFAEF	teje	# teje
uFFAEB	tuli	# tuli
uFFAF1	to	# to, default
uFFAF1	to1	# to, right corner bracket
uFFAF2	umesu	# umesu
uFFAF6	usawi	# usawi
uFFAF7	wasoweli	# wasoweli
uFFAFB	sutopatikuna	# sutopatikuna
uFFAFC	yupekosi	# yupekosi
uFFAFD	Pingo	# Pingo
uFFAFE	kalamARR	# kalamARR

# single words - nimi ku awen
uFFB2C	ju	# ju
uFFB2D	lu	# lu, default
uFFB2D	lu1	# lu, reserved word
uFFB7A	lu2	# lu, synonym of lo
uFFB2E	nu	# nu, default
uFFB2E	nu1	# nu, reserved word
uFFB7E	nu2	# nu, synonym of sin
uFFB2F	su	# su, default
uFFB2F	su1	# su, reserved word
uFFB3D	su2	# su, question marker
uFFB30	u	# u

# single words - nimi ale pona, main
uFFB31	jami	# jami
uFFB32	melome	# melome
uFFB36	mijomi	# mijomi
uFFB3A	natu	# natu, synonym of aka and eki
uFFB3A	aka	# aka, synonym of natu and eki
uFFB3A	eki	# eki, synonym of natu and aka
uFFB3B	omekapo	# omekapo
uFFB3C	puwa	# puwa
uFFB3E	wekama	# wekama

# single words - nimi ale pona, namako
uFFB40	alu	# alu
uFFB41	awase	# awase
uFFB43	enko	# enko, default
uFFB43	enko1	# enko, space alien looking thing
uFFB44	enko2	# enko, arrows
uFFB45	enko3	# enko, grid
uFFB46	i	# i
uFFB47	iki	# iki, default
uFFB0A	iki1	# iki, straight
uFFB0B	iki2	# iki, curved
uFFB48	ipi	# ipi, default
uFFB0C	ipi1	# ipi, straight
uFFB0D	ipi2	# ipi, curved
uFFB49	itomi	# itomi
uFFB4D	jaku	# jaku
uFFAD1	jalan	# jalan, synonym of loka
uFFB4E	je	# je, default
uFFB28	je1	# je, straight exclamation radical
uFFB29	je2	# je, diagonal exclamation radical
uFFB4F	jonke	# jonke
uFFB51	kapa	# kapa
uFFB55	ki	# ki
uFFB57	kisa	# kisa
uFFB58	konwe	# konwe
uFFB59	kosan	# kosan
uFFB5D	kulu	# kulu
uFFB5E	lokon	# lokon
uFFB5F	molusa	# molusa
uFFB60	nja	# nja
uFFB61	okepuma	# okepuma
uFFB62	omen	# omen
uFFB63	oni	# oni, default
uFFB63	oni1	# oni, closed eyelid
uFFB64	oni2	# oni, mun with emitters
uFFB65	owe	# owe
uFFB66	pa	# pa
uFFB67	pasila	# pasila
uFFB69	peta	# peta
uFFB6A	pika	# pika, default
uFFB6A	pika1	# pika, lightning bolt
uFFD9D	pika2	# pika, electric plug
uFFB6B	pipo	# pipo
uFFB6C	sikomo	# sikomo
uF196B	ten	# ten, default
uF196B	ten1	# ten, synonym of tenpo
uFFBAD	ten2	# ten, the number
uFFB70	tokana	# tokana, default
uFFB70	tokana1	# tokana, magnifying glass
uFFDA9	tokana2	# tokana, rotated ante with dot
uFFDAA	tokana3	# tokana, four rays with dot
uFFB71	wawajete	# wawajete
uFFB72	we1	# we, particle
uFFDB7	we2	# we, content word
uFFDB7	we	# we, content word
uFFB8C	yutu	# yutu

# single words - nimi Linku
uFFB73	ako	# ako, default
uFFB2A	ako1	# ako, straight exclamation radical
uFFB2B	ako2	# ako, diagonal exclamation radical
uFFB74	jume	# jume
uFFB75	konsi	# konsi
uFFB77	kutopoma	# kutopoma
uFFB78	lijokuku	# lijokuku, default
uFFB78	lijokuku1	# lijokuku, Hangul
uFFB79	lijokuku2	# lijokuku, pilin sama with musi
uFFB7A	lo	# lo, synonym of lu
uFFB7C	me	# me
uFFB7D	nele	# nele
uFFB7F	nuwa	# nuwa
uFFB80	poni	# poni, default
uFFB80	poni1	# poni, profile
uFFD85	poni2	# poni, horseshoe
uFFB81	sipi	# sipi
uFFB82	wi	# wi, default
uFFB0E	wi1	# wi, straight
uFFB0F	wi2	# wi, curved
uFFB8D	slape	# slape
uFFB8E	jans	# jans

# single words - nimi Linku 2022
uFFD80	alente	# alente
uFFD81	jule	# jule
uFFD82	nalanja1	# nalanja, orange slice
uFFDB6	nalanja2	# nalanja, kili
uFFDB6	nalanja	# nalanja, default
uFFD83	ojuta	# ojuta
uFFD84	omekalike	# omekalike
uFFD86	wowujiti	# wowujiti/wuwojiti
uFFD86	wuwojiti	# wuwojiti/wowujiti

# single words - linja sike
uFFB84	oki	# oki
uFFB86	sowoli	# sowoli
uFFB8A	kulepiku	# kulepiku
uFFB8B	epikule	# epikule
uFFB8F	jew	# jew

# single words - linja suwi
uFFBA0	kalijopilale	# kalijopilale
uFFBA1	kijosin	# kijosin
uFFBA9	mamasi	# mamasi, synonym of mamasina
uFFBA9	mamasina	# mamasina, synonym of mamasi
uFFBAA	waken	# waken

# single words - other sources
uFFBAB	lansan	# lansan
uFFBAC	wiki	# wiki
uFFBAE	tona	# tona
uFFD87	aku	# aku
uFFD88	ani	# ani
uFFD89	anta	# anta
uFFD8A	apelo	# apelo
uFFD8B	elen	# elen
uFFD8C	iseki	# iseki
uFFD8D	kalapisituwi	# kalapisituwi
uFFD8E	kana	# kana
uFFD8F	kikolo	# kikolo
uFFD90	kikulo	# kikulo
uFFD91	kokoliko	# kokoliko
uFFD92	koni	# koni
uFFD93	kosikosa	# kosikosa
uFFD94	masalo	# masalo
uFFD95	matula	# matula
uFFD96	nimisin	# nimisin
uFFD97	nowi	# nowi
uFFD98	olala	# olala
uFFD99	opasan	# opasan
uFFD9A	pakola	# pakola, default
uFFD9A	pakola1	# pakola, pakala-like with emitters
uFFD9B	pakola2	# pakola, H
uFFD9C	panke	# panke
uFFD9E	pipolo	# pipolo
uFFD9F	sapelipope	# sapelipope
uFFDA0	sikako	# sikako
uFFDA1	silapa	# silapa
uFFDA2	sipije	# sipije
uFFDA3	sisi	# sisi
uFFDA4	siwala	# siwala
uFFDA5	snoweli	# snoweli
uFFDA6	soni	# soni
uFFDA7	ta	# ta
uFFDA8	tasun	# tasun
uFFDAB	wiwi	# wiwi

# single words - 2023
uFFDAC	eliki	# eliki
uFFDAD	enepi	# enepi
uFFDAE	nasin+mani	# nasin mani (capitalism)
uFFDAF	wiju	# wiju
uFFDB0	saja	# saja
uFFDB1	ana	# ana
uFFDB2	eni	# eni, synonym of ene
uFFDB2	ene	# ene, synonym of eni
uFFDB3	masu	# masu
uFFDB4	lato	# lato
uFFDB5	topo	# topo

# long silapa and tasun
uFFDF0	silapa1	# silapa, top part
uFFDF1	silapa2	# silapa, middle part
uFFDF2	silapa3	# silapa, bottom part
uFFDF3	silapa4	# silapa, two lines tall
uFFDF4	silapa5	# silapa, three lines tall
uFFDF0	si\	# silapa, top part
uFFDF1	i\	# silapa, middle part
uFFDF2	ilapa	# silapa, bottom part
uFFDF3	siilapa	# silapa, two lines tall
uFFDF4	siiilapa	# silapa, three lines tall
uFFDF5	tasun1	# tasun, left part
uFFDF6	tasun2	# tasun, center part
uFFDF7	tasun3	# tasun, right part
uFFDF8	tasun4	# tasun, two ideographs wide
