# single words - nimi pu
uFF928	ijo*lete	# ijo lete, scaled
uFF929	ijo-lili	# ijo lili, scaled
uFF929	ijo+lili	# ijo lili, scaled
uFF929	ijo*lili	# ijo lili, scaled
uFF92A	ijo-linja	# ijo linja, scaled
uFF92A	ijo+linja	# ijo linja, scaled
uFF92A	ijo*linja	# ijo linja, scaled
uFF92B	ijo-lipu	# ijo lipu, scaled
uFF92B	ijo+lipu	# ijo lipu, scaled
uFF92B	ijo*lipu	# ijo lipu, scaled
uFF92C	ijo-loje	# ijo loje, scaled
uFF92C	ijo+loje	# ijo loje, scaled
uFF92C	ijo*loje	# ijo loje, scaled
uFF92D	ijo-lon	# ijo lon, scaled
uFF92D	ijo+lon	# ijo lon, scaled
uFF92D	ijo*lon	# ijo lon, scaled
uFF92E	ijo-luka	# ijo luka, scaled
uFF92E	ijo+luka	# ijo luka, scaled
uFF92E	ijo*luka	# ijo luka, scaled
uFF92F	ijo-lukin	# ijo lukin, scaled
uFF92F	ijo+lukin	# ijo lukin, scaled
uFF92F	ijo*lukin	# ijo lukin, scaled
uFF930	ijo-lupa	# ijo lupa, scaled
uFF930	ijo+lupa	# ijo lupa, scaled
uFF930	ijo*lupa	# ijo lupa, scaled
uFF931	ijo-ma	# ijo ma, scaled
uFF931	ijo+ma	# ijo ma, scaled
uFF931	ijo*ma	# ijo ma, scaled
uFF932	ijo-mama	# ijo mama, scaled
uFF932	ijo+mama	# ijo mama, scaled
uFF932	ijo*mama	# ijo mama, scaled
uFF933	ijo-mani	# ijo mani, scaled
uFF933	ijo+mani	# ijo mani, scaled
uFF933	ijo*mani	# ijo mani, scaled
uFF934	ijo-meli	# ijo meli, default, scaled
uFF934	ijo+meli	# ijo meli, default, scaled
uFF934	ijo*meli	# ijo meli, default, scaled
uFF934	ijo-meli1	# ijo meli, head with hair, scaled
uFF934	ijo+meli1	# ijo meli, head with hair, scaled
uFF934	ijo*meli1	# ijo meli, head with hair, scaled
uFFBB0	ijo-meli2	# ijo meli, female sign, scaled
uFFBB0	ijo+meli2	# ijo meli, female sign, scaled
uFFBB0	ijo*meli2	# ijo meli, female sign, scaled
uFF935	ijo-mi	# ijo mi, default, scaled
uFF935	ijo+mi	# ijo mi, default, scaled
uFF935	ijo*mi	# ijo mi, default, scaled
uFF935	ijo-mi1	# ijo mi, straight, scaled
uFF935	ijo+mi1	# ijo mi, straight, scaled
uFF935	ijo*mi1	# ijo mi, straight, scaled
uFF935	ijo-mi2	# ijo mi, curved, scaled
uFF935	ijo+mi2	# ijo mi, curved, scaled
uFF935	ijo*mi2	# ijo mi, curved, scaled
uFF936	ijo-mije	# ijo mije, default, scaled
uFF936	ijo+mije	# ijo mije, default, scaled
uFF936	ijo*mije	# ijo mije, default, scaled
uFF936	ijo-mije1	# ijo mije, head and shoulders, scaled
uFF936	ijo+mije1	# ijo mije, head and shoulders, scaled
uFF936	ijo*mije1	# ijo mije, head and shoulders, scaled
uFFBB1	ijo-mije2	# ijo mije, male sign, scaled
uFFBB1	ijo+mije2	# ijo mije, male sign, scaled
uFFBB1	ijo*mije2	# ijo mije, male sign, scaled
uFF937	ijo-moku	# ijo moku, scaled
uFF937	ijo+moku	# ijo moku, scaled
uFF937	ijo*moku	# ijo moku, scaled
uFF938	ijo-moli	# ijo moli, scaled
uFF938	ijo+moli	# ijo moli, scaled
uFF938	ijo*moli	# ijo moli, scaled
uFF938	ijo-moli1	# ijo moli, scaled
uFF938	ijo+moli1	# ijo moli, scaled
uFF938	ijo*moli1	# ijo moli, scaled
uFF938	ijo-moli2	# ijo moli, scaled
uFF938	ijo+moli2	# ijo moli, scaled
uFF938	ijo*moli2	# ijo moli, scaled
uFF939	ijo-monsi	# ijo monsi, scaled
uFF939	ijo+monsi	# ijo monsi, scaled
uFF939	ijo*monsi	# ijo monsi, scaled
uFF93A	ijo-monsuta	# ijo monsuta, scaled
uFF93A	ijo+monsuta	# ijo monsuta, scaled
uFF93A	ijo*monsuta	# ijo monsuta, scaled
uFF93B	ijo-mu	# ijo mu, scaled
uFF93B	ijo+mu	# ijo mu, scaled
uFF93B	ijo*mu	# ijo mu, scaled
uFF93C	ijo-mun	# ijo mun, scaled
uFF93C	ijo+mun	# ijo mun, scaled
uFF93C	ijo*mun	# ijo mun, scaled
uFF93D	ijo-musi	# ijo musi, scaled
uFF93D	ijo+musi	# ijo musi, scaled
uFF93D	ijo*musi	# ijo musi, scaled
uFF93E	ijo-mute	# ijo mute, scaled
uFF93E	ijo+mute	# ijo mute, scaled
uFF93E	ijo*mute	# ijo mute, scaled
uFF93F	ijo-namako	# ijo namako, default, scaled
uFF93F	ijo+namako	# ijo namako, default, scaled
uFF93F	ijo*namako	# ijo namako, default, scaled
uFF93F	ijo-namako1	# ijo namako, four rays, scaled
uFF93F	ijo+namako1	# ijo namako, four rays, scaled
uFF93F	ijo*namako1	# ijo namako, four rays, scaled
uFFBB2	ijo-namako2	# ijo namako, pepper with emitters, scaled
uFFBB2	ijo+namako2	# ijo namako, pepper with emitters, scaled
uFFBB2	ijo*namako2	# ijo namako, pepper with emitters, scaled
uFF940	ijo-nanpa	# ijo nanpa, scaled
uFF940	ijo+nanpa	# ijo nanpa, scaled
uFF940	ijo*nanpa	# ijo nanpa, scaled
uFF941	ijo-nasa	# ijo nasa, scaled
uFF941	ijo+nasa	# ijo nasa, scaled
uFF941	ijo*nasa	# ijo nasa, scaled
uFF942	ijo-nasin	# ijo nasin, scaled
uFF942	ijo+nasin	# ijo nasin, scaled
uFF942	ijo*nasin	# ijo nasin, scaled
uFF943	ijo-nena	# ijo nena, scaled
uFF943	ijo+nena	# ijo nena, scaled
uFF943	ijo*nena	# ijo nena, scaled
uFF944	ijo-ni	# ijo ni, scaled
uFF944	ijo+ni	# ijo ni, scaled
uFF944	ijo*ni	# ijo ni, scaled
uFFD00	ijo^ni	# ijo ni, stacked
uFF945	ijo-nimi	# ijo nimi, scaled
uFF945	ijo+nimi	# ijo nimi, scaled
uFF945	ijo*nimi	# ijo nimi, scaled
uFF946	ijo-noka	# ijo noka, scaled
uFF946	ijo+noka	# ijo noka, scaled
uFF946	ijo*noka	# ijo noka, scaled
uFF947	ijo-oko	# ijo oko, scaled
uFF947	ijo+oko	# ijo oko, scaled
uFF947	ijo*oko	# ijo oko, scaled
uFF948	ijo-olin	# ijo olin, default, scaled
uFF948	ijo+olin	# ijo olin, default, scaled
uFF948	ijo*olin	# ijo olin, default, scaled
uFF948	ijo-olin1	# ijo olin, doubled pilin, scaled
uFF948	ijo+olin1	# ijo olin, doubled pilin, scaled
uFF948	ijo*olin1	# ijo olin, doubled pilin, scaled
uFFBB3	ijo-olin2	# ijo olin, pilin with emitters, scaled
uFFBB3	ijo+olin2	# ijo olin, pilin with emitters, scaled
uFFBB3	ijo*olin2	# ijo olin, pilin with emitters, scaled
uFF949	ijo-ona	# ijo ona, default, scaled
uFF949	ijo+ona	# ijo ona, default, scaled
uFF949	ijo*ona	# ijo ona, default, scaled
uFF949	ijo-ona1	# ijo ona, straight, scaled
uFF949	ijo+ona1	# ijo ona, straight, scaled
uFF949	ijo*ona1	# ijo ona, straight, scaled
uFF949	ijo-ona2	# ijo ona, curved, scaled
uFF949	ijo+ona2	# ijo ona, curved, scaled
uFF949	ijo*ona2	# ijo ona, curved, scaled
uFF94A	ijo-open	# ijo open, scaled
uFF94A	ijo+open	# ijo open, scaled
uFF94A	ijo*open	# ijo open, scaled
uFF94B	ijo-pakala	# ijo pakala, scaled
uFF94B	ijo+pakala	# ijo pakala, scaled
uFF94B	ijo*pakala	# ijo pakala, scaled
uFF94C	ijo-pake	# ijo pake, scaled
uFF94C	ijo+pake	# ijo pake, scaled
uFF94C	ijo*pake	# ijo pake, scaled
uFF94D	ijo-pali	# ijo pali, scaled
uFF94D	ijo+pali	# ijo pali, scaled
uFF94D	ijo*pali	# ijo pali, scaled
uFF94E	ijo-palisa	# ijo palisa, scaled
uFF94E	ijo+palisa	# ijo palisa, scaled
uFF94E	ijo*palisa	# ijo palisa, scaled
uFF94F	ijo-pan	# ijo pan, scaled
uFF94F	ijo+pan	# ijo pan, scaled
uFF94F	ijo*pan	# ijo pan, scaled
uFF950	ijo-pana	# ijo pana, scaled
uFF950	ijo+pana	# ijo pana, scaled
uFF950	ijo*pana	# ijo pana, scaled
uFF951	ijo-pilin	# ijo pilin, scaled
uFF951	ijo+pilin	# ijo pilin, scaled
uFF951	ijo*pilin	# ijo pilin, scaled
uFF952	ijo-pimeja	# ijo pimeja, scaled
uFF952	ijo+pimeja	# ijo pimeja, scaled
uFF952	ijo*pimeja	# ijo pimeja, scaled
uFF953	ijo-pini	# ijo pini, scaled
uFF953	ijo+pini	# ijo pini, scaled
uFF953	ijo*pini	# ijo pini, scaled
uFF954	ijo-pipi	# ijo pipi, scaled
uFF954	ijo+pipi	# ijo pipi, scaled
uFF954	ijo*pipi	# ijo pipi, scaled
uFF955	ijo-poka	# ijo poka, scaled
uFF955	ijo+poka	# ijo poka, scaled
uFF955	ijo*poka	# ijo poka, scaled
uFF956	ijo-poki	# ijo poki, scaled
uFF956	ijo+poki	# ijo poki, scaled
uFF956	ijo*poki	# ijo poki, scaled
uFF957	ijo-pona	# ijo pona, scaled
uFF957	ijo+pona	# ijo pona, scaled
uFF957	ijo*pona	# ijo pona, scaled
uFF958	ijo-pu	# ijo pu, scaled
uFF958	ijo+pu	# ijo pu, scaled
uFF958	ijo*pu	# ijo pu, scaled
uFF959	ijo-sama	# ijo sama, scaled
uFF959	ijo+sama	# ijo sama, scaled
uFF959	ijo*sama	# ijo sama, scaled
uFF95A	ijo-seli	# ijo seli, scaled
uFF95A	ijo+seli	# ijo seli, scaled
uFF95A	ijo*seli	# ijo seli, scaled
uFF95B	ijo-selo	# ijo selo, scaled
uFF95B	ijo+selo	# ijo selo, scaled
uFF95B	ijo*selo	# ijo selo, scaled
uFF95C	ijo-seme	# ijo seme, scaled
uFF95C	ijo+seme	# ijo seme, scaled
uFF95C	ijo*seme	# ijo seme, scaled
uFF95D	ijo-sewi	# ijo sewi, default, scaled
uFF95D	ijo+sewi	# ijo sewi, default, scaled
uFF95D	ijo*sewi	# ijo sewi, default, scaled
uFF95D	ijo-sewi1	# ijo sewi, Arabic, scaled
uFF95D	ijo+sewi1	# ijo sewi, Arabic, scaled
uFF95D	ijo*sewi1	# ijo sewi, Arabic, scaled
uFFBB4	ijo-sewi2	# ijo sewi, secularized, scaled
uFFBB4	ijo+sewi2	# ijo sewi, secularized, scaled
uFFBB4	ijo*sewi2	# ijo sewi, secularized, scaled
uFF95E	ijo-sijelo	# ijo sijelo, scaled
uFF95E	ijo+sijelo	# ijo sijelo, scaled
uFF95E	ijo*sijelo	# ijo sijelo, scaled
uFF95F	ijo-sike	# ijo sike, scaled
uFF95F	ijo+sike	# ijo sike, scaled
uFF95F	ijo*sike	# ijo sike, scaled
uFF960	ijo-sin	# ijo sin, scaled
uFF960	ijo+sin	# ijo sin, scaled
uFF960	ijo*sin	# ijo sin, scaled
uFF961	ijo-sina	# ijo sina, default, scaled
uFF961	ijo+sina	# ijo sina, default, scaled
uFF961	ijo*sina	# ijo sina, default, scaled
uFF961	ijo-sina1	# ijo sina, straight, scaled
uFF961	ijo+sina1	# ijo sina, straight, scaled
uFF961	ijo*sina1	# ijo sina, straight, scaled
uFF961	ijo-sina2	# ijo sina, curved, scaled
uFF961	ijo+sina2	# ijo sina, curved, scaled
uFF961	ijo*sina2	# ijo sina, curved, scaled
uFF962	ijo-sinpin	# ijo sinpin, scaled
uFF962	ijo+sinpin	# ijo sinpin, scaled
uFF962	ijo*sinpin	# ijo sinpin, scaled
uFF963	ijo-sitelen	# ijo sitelen, scaled
uFF963	ijo+sitelen	# ijo sitelen, scaled
uFF963	ijo*sitelen	# ijo sitelen, scaled
uFF964	ijo-sona	# ijo sona, scaled
uFF964	ijo+sona	# ijo sona, scaled
uFF964	ijo*sona	# ijo sona, scaled
uFF965	ijo-soweli	# ijo soweli, scaled
uFF965	ijo+soweli	# ijo soweli, scaled
uFF965	ijo*soweli	# ijo soweli, scaled
uFF966	ijo-suli	# ijo suli, scaled
uFF966	ijo+suli	# ijo suli, scaled
uFF966	ijo*suli	# ijo suli, scaled
uFF967	ijo-suno	# ijo suno, scaled
uFF967	ijo+suno	# ijo suno, scaled
uFF967	ijo*suno	# ijo suno, scaled
uFF968	ijo-supa	# ijo supa, scaled
uFF968	ijo+supa	# ijo supa, scaled
uFF968	ijo*supa	# ijo supa, scaled
uFF969	ijo-suwi	# ijo suwi, scaled
uFF969	ijo+suwi	# ijo suwi, scaled
uFF969	ijo*suwi	# ijo suwi, scaled
uFF96A	ijo-tan	# ijo tan, scaled
uFF96A	ijo+tan	# ijo tan, scaled
uFF96A	ijo*tan	# ijo tan, scaled
uFF96B	ijo-taso	# ijo taso, scaled
uFF96B	ijo+taso	# ijo taso, scaled
uFF96B	ijo*taso	# ijo taso, scaled
uFF96C	ijo-tawa	# ijo tawa, scaled
uFF96C	ijo+tawa	# ijo tawa, scaled
uFF96C	ijo*tawa	# ijo tawa, scaled
uFF96D	ijo-telo	# ijo telo, scaled
uFF96D	ijo+telo	# ijo telo, scaled
uFF96D	ijo*telo	# ijo telo, scaled
uFF96E	ijo-tenpo	# ijo tenpo, scaled
uFF96E	ijo+tenpo	# ijo tenpo, scaled
uFF96E	ijo*tenpo	# ijo tenpo, scaled
uFF96F	ijo-toki	# ijo toki, scaled
uFF96F	ijo+toki	# ijo toki, scaled
uFF96F	ijo*toki	# ijo toki, scaled
uFF970	ijo-tomo	# ijo tomo, scaled
uFF970	ijo+tomo	# ijo tomo, scaled
uFF970	ijo*tomo	# ijo tomo, scaled
uFF971	ijo-tonsi	# ijo tonsi, scaled
uFF971	ijo+tonsi	# ijo tonsi, scaled
uFF971	ijo*tonsi	# ijo tonsi, scaled
uFF972	ijo-tu	# ijo tu, scaled
uFF972	ijo+tu	# ijo tu, scaled
uFF972	ijo*tu	# ijo tu, scaled
uFF973	ijo-unpa	# ijo unpa, scaled
uFF973	ijo+unpa	# ijo unpa, scaled
uFF973	ijo*unpa	# ijo unpa, scaled
uFF974	ijo-uta	# ijo uta, default, scaled
uFF974	ijo+uta	# ijo uta, default, scaled
uFF974	ijo*uta	# ijo uta, default, scaled
uFF974	ijo-uta1	# ijo uta, dotted, scaled
uFF974	ijo+uta1	# ijo uta, dotted, scaled
uFF974	ijo*uta1	# ijo uta, dotted, scaled
uFFBB5	ijo-uta2	# ijo uta, dotless, scaled
uFFBB5	ijo+uta2	# ijo uta, dotless, scaled
uFFBB5	ijo*uta2	# ijo uta, dotless, scaled
uFF975	ijo-utala	# ijo utala, scaled
uFF975	ijo+utala	# ijo utala, scaled
uFF975	ijo*utala	# ijo utala, scaled
uFF976	ijo-walo	# ijo walo, scaled
uFF976	ijo+walo	# ijo walo, scaled
uFF976	ijo*walo	# ijo walo, scaled
uFF977	ijo-wan	# ijo wan, scaled
uFF977	ijo+wan	# ijo wan, scaled
uFF977	ijo*wan	# ijo wan, scaled
uFF978	ijo-waso	# ijo waso, scaled
uFF978	ijo+waso	# ijo waso, scaled
uFF978	ijo*waso	# ijo waso, scaled
uFF979	ijo-wawa	# ijo wawa, scaled
uFF979	ijo+wawa	# ijo wawa, scaled
uFF979	ijo*wawa	# ijo wawa, scaled
uFF97A	ijo-weka	# ijo weka, scaled
uFF97A	ijo+weka	# ijo weka, scaled
uFF97A	ijo*weka	# ijo weka, scaled
uFF97B	ijo-wile	# ijo wile, default, scaled
uFF97B	ijo+wile	# ijo wile, default, scaled
uFF97B	ijo*wile	# ijo wile, default, scaled
uFF97B	ijo-wile1	# ijo wile, curved w, scaled
uFF97B	ijo+wile1	# ijo wile, curved w, scaled
uFF97B	ijo*wile1	# ijo wile, curved w, scaled
uFFBB6	ijo-wile2	# ijo wile, turned pilin, scaled
uFFBB6	ijo+wile2	# ijo wile, turned pilin, scaled
uFFBB6	ijo*wile2	# ijo wile, turned pilin, scaled
uFF97C	ike-ala	# ike ala, stacked
uFF97C	ike+ala	# ike ala, stacked
uFF97C	ike^ala	# ike ala, stacked
uFF97D	ike-lili	# ike lili, stacked
uFF97D	ike+lili	# ike lili, stacked
uFF97D	ike^lili	# ike lili, stacked
uFF97E	ike-lukin	# ike lukin, stacked
uFF97E	ike+lukin	# ike lukin, stacked
uFF97E	ike^lukin	# ike lukin, stacked
uFF97F	ilo-kipisi	# ilo kipisi, stacked
uFF97F	ilo+kipisi	# ilo kipisi, stacked
uFF97F	ilo^kipisi	# ilo kipisi, stacked
uFF980	ilo-lape	# ilo lape, stacked
uFF980	ilo+lape	# ilo lape, stacked
uFF980	ilo^lape	# ilo lape, stacked
uFF981	ilo-lukin	# ilo lukin, stacked
uFF981	ilo+lukin	# ilo lukin, stacked
uFF981	ilo^lukin	# ilo lukin, stacked
uFF982	ilo-moli	# ilo moli, stacked
uFF982	ilo+moli	# ilo moli, stacked
uFF982	ilo^moli	# ilo moli, stacked
uFF982	ilo-moli1	# ilo moli, stacked
uFF982	ilo+moli1	# ilo moli, stacked
uFF982	ilo^moli1	# ilo moli, stacked
uFF982	ilo-moli2	# ilo moli, stacked
uFF982	ilo+moli2	# ilo moli, stacked
uFF982	ilo^moli2	# ilo moli, stacked
uFF983	ilo-musi	# ilo musi, stacked
uFF983	ilo+musi	# ilo musi, stacked
uFF983	ilo^musi	# ilo musi, stacked
uFF984	ilo-nanpa	# ilo nanpa, stacked
uFF984	ilo+nanpa	# ilo nanpa, stacked
uFF984	ilo^nanpa	# ilo nanpa, stacked
uFF985	ilo-oko	# ilo oko, stacked
uFF985	ilo+oko	# ilo oko, stacked
uFF985	ilo^oko	# ilo oko, stacked
uFF986	ilo-open	# ilo open, stacked
uFF986	ilo+open	# ilo open, stacked
uFF986	ilo^open	# ilo open, stacked
uFF987	ilo-suno	# ilo suno, stacked
uFF987	ilo+suno	# ilo suno, stacked
uFF987	ilo^suno	# ilo suno, stacked
uFF988	ilo-toki	# ilo toki, stacked
uFF988	ilo+toki	# ilo toki, stacked
uFF988	ilo^toki	# ilo toki, stacked
uFF989	jan-ala	# jan ala, scaled
uFF989	jan+ala	# jan ala, scaled
uFF989	jan*ala	# jan ala, scaled
uFF98A	jan-alasa	# jan alasa, scaled
uFF98A	jan+alasa	# jan alasa, scaled
uFF98A	jan*alasa	# jan alasa, scaled
uFF98B	jan-ale	# jan ale, synonym of jan ali, scaled
uFF98B	jan+ale	# jan ale, synonym of jan ali, scaled
uFF98B	jan*ale	# jan ale, synonym of jan ali, scaled
uFF98B	jan-ali	# jan ali, synonym of jan ale, scaled
uFF98B	jan+ali	# jan ali, synonym of jan ale, scaled
uFF98B	jan*ali	# jan ali, synonym of jan ale, scaled
uFF98C	jan-ante	# jan ante, scaled
uFF98C	jan+ante	# jan ante, scaled
uFF98C	jan*ante	# jan ante, scaled
uFF98D	jan-ike	# jan ike, scaled
uFF98D	jan+ike	# jan ike, scaled
uFF98D	jan*ike	# jan ike, scaled
uFF98E	jan-kala	# jan kala, default, scaled
uFF98E	jan+kala	# jan kala, default, scaled
uFF98E	jan*kala	# jan kala, default, scaled
uFF98E	jan-kala1	# jan kala, without eyes, scaled
uFF98E	jan+kala1	# jan kala, without eyes, scaled
uFF98E	jan*kala1	# jan kala, without eyes, scaled
uFF98E	jan-kala2	# jan kala, with eyes, scaled
uFF98E	jan+kala2	# jan kala, with eyes, scaled
uFF98E	jan*kala2	# jan kala, with eyes, scaled
uFF98F	jan-kalama	# jan kalama, scaled
uFF98F	jan+kalama	# jan kalama, scaled
uFF98F	jan*kalama	# jan kalama, scaled
uFF990	jan-kasi	# jan kasi, scaled
uFF990	jan+kasi	# jan kasi, scaled
uFF990	jan*kasi	# jan kasi, scaled
uFF991	jan-kulupu	# jan kulupu, scaled
uFF991	jan+kulupu	# jan kulupu, scaled
uFF991	jan*kulupu	# jan kulupu, scaled
uFF992	jan-lawa	# jan lawa, scaled
uFF992	jan+lawa	# jan lawa, scaled
uFF992	jan*lawa	# jan lawa, scaled
uFF993	jan-lili	# jan lili, scaled
uFF993	jan+lili	# jan lili, scaled
uFF993	jan*lili	# jan lili, scaled
uFF994	jan-monsuta	# jan monsuta, scaled
uFF994	jan+monsuta	# jan monsuta, scaled
uFF994	jan*monsuta	# jan monsuta, scaled
uFF995	jan-mute	# jan mute, scaled
uFF995	jan+mute	# jan mute, scaled
uFF995	jan*mute	# jan mute, scaled
uFF996	jan-nasa	# jan nasa, scaled
uFF996	jan+nasa	# jan nasa, scaled
uFF996	jan*nasa	# jan nasa, scaled
uFFD01	jan-ni	# jan ni, stacked
uFFD01	jan+ni	# jan ni, stacked
uFFD01	jan^ni	# jan ni, stacked
uFF997	jan-olin	# jan olin, default, scaled
uFF997	jan+olin	# jan olin, default, scaled
uFF997	jan*olin	# jan olin, default, scaled
uFF997	jan-olin1	# jan olin, doubled pilin, scaled
uFF997	jan+olin1	# jan olin, doubled pilin, scaled
uFF997	jan*olin1	# jan olin, doubled pilin, scaled
uFFBB7	jan-olin2	# jan olin, pilin with emitters, scaled
uFFBB7	jan+olin2	# jan olin, pilin with emitters, scaled
uFFBB7	jan*olin2	# jan olin, pilin with emitters, scaled
uFF998	jan-pakala	# jan pakala, scaled
uFF998	jan+pakala	# jan pakala, scaled
uFF998	jan*pakala	# jan pakala, scaled
uFF999	jan-pali	# jan pali, scaled
uFF999	jan+pali	# jan pali, scaled
uFF999	jan*pali	# jan pali, scaled
uFF99A	jan-poka	# jan poka, scaled
uFF99A	jan+poka	# jan poka, scaled
uFF99A	jan*poka	# jan poka, scaled
uFF99B	jan-pona	# jan pona, scaled
uFF99B	jan+pona	# jan pona, scaled
uFF99B	jan*pona	# jan pona, scaled
uFF99C	jan-sama	# jan sama, scaled
uFF99C	jan+sama	# jan sama, scaled
uFF99C	jan*sama	# jan sama, scaled
uFF99D	jan-seme	# jan seme, scaled
uFF99D	jan+seme	# jan seme, scaled
uFF99D	jan*seme	# jan seme, scaled
uFF99E	jan-sewi	# jan sewi, default, scaled
uFF99E	jan+sewi	# jan sewi, default, scaled
uFF99E	jan*sewi	# jan sewi, default, scaled
uFF99E	jan-sewi1	# jan sewi, Arabic, scaled
uFF99E	jan+sewi1	# jan sewi, Arabic, scaled
uFF99E	jan*sewi1	# jan sewi, Arabic, scaled
uFFBB8	jan-sewi2	# jan sewi, secularized, scaled
uFFBB8	jan+sewi2	# jan sewi, secularized, scaled
uFFBB8	jan*sewi2	# jan sewi, secularized, scaled
uFF99F	jan-sin	# jan sin, scaled
uFF99F	jan+sin	# jan sin, scaled
uFF99F	jan*sin	# jan sin, scaled
uFF9A0	jan-sona	# jan sona, scaled
uFF9A0	jan+sona	# jan sona, scaled
uFF9A0	jan*sona	# jan sona, scaled
uFF9A1	jan-suli	# jan suli, scaled
uFF9A1	jan+suli	# jan suli, scaled
uFF9A1	jan*suli	# jan suli, scaled
uFF9A2	jan-suwi	# jan suwi, scaled
uFF9A2	jan+suwi	# jan suwi, scaled
uFF9A2	jan*suwi	# jan suwi, scaled
uFF9A3	jan-toki	# jan toki, scaled
uFF9A3	jan+toki	# jan toki, scaled
uFF9A3	jan*toki	# jan toki, scaled
uFF9A4	jan-unpa	# jan unpa, scaled
uFF9A4	jan+unpa	# jan unpa, scaled
uFF9A4	jan*unpa	# jan unpa, scaled
uFF9A5	jan-utala	# jan utala, scaled
uFF9A5	jan+utala	# jan utala, scaled
uFF9A5	jan*utala	# jan utala, scaled
uFF9A6	jan-wawa	# jan wawa, scaled
uFF9A6	jan+wawa	# jan wawa, scaled
uFF9A6	jan*wawa	# jan wawa, scaled
uFF9A7	kala-lete	# kala lete, default, default
uFF9A7	kala+lete	# kala lete, default, default
uFF9A7	kala*lete	# kala lete, default, scaled
uFFBB9	kala^lete	# kala lete, default, stacked
uFF9A7	kala1-lete	# kala lete, without eyes, default
uFF9A7	kala1+lete	# kala lete, without eyes, default
uFF9A7	kala1*lete	# kala lete, without eyes, scaled
uFFBB9	kala1^lete	# kala lete, without eyes, stacked
uFF9A7	kala2-lete	# kala lete, with eyes, default
uFF9A7	kala2+lete	# kala lete, with eyes, default
uFF9A7	kala2*lete	# kala lete, with eyes, scaled
uFFBBA	kala2^lete	# kala lete, with eyes, stacked
uFF9A8	kala-lili	# kala lili, default, default	
uFF9A8	kala+lili	# kala lili, default, default	
uFF9A8	kala*lili	# kala lili, default, scaled	
uFFBBB	kala^lili	# kala lili, default, stacked
uFF9A8	kala1-lili	# kala lili, without eyes, default
uFF9A8	kala1+lili	# kala lili, without eyes, default
uFF9A8	kala1*lili	# kala lili, without eyes, scaled
uFFBBB	kala1^lili	# kala lili, without eyes, stacked
uFF9A8	kala2-lili	# kala lili, with eyes, default
uFF9A8	kala2+lili	# kala lili, with eyes, default
uFF9A8	kala2*lili	# kala lili, with eyes, scaled
uFFBBC	kala2^lili	# kala lili, with eyes, stacked
uFF9A9	kalama-musi	# kalama musi, stacked
uFF9A9	kalama+musi	# kalama musi, stacked
uFF9A9	kalama^musi	# kalama musi, stacked
uFF9AA	kasi-jelo	# kesi jelo, stacked
uFF9AA	kasi+jelo	# kesi jelo, stacked
uFF9AA	kasi^jelo	# kesi jelo, stacked
uFF9AB	kasi-kule	# kasi kule, stacked
uFF9AB	kasi+kule	# kasi kule, stacked
uFF9AB	kasi^kule	# kasi kule, stacked
uFF9AC	kasi-laso	# kasi laso, stacked
uFF9AC	kasi+laso	# kasi laso, stacked
uFF9AC	kasi^laso	# kasi laso, stacked
uFF9AD	kasi-lili	# kasi lili, stacked
uFF9AD	kasi+lili	# kasi lili, stacked
uFF9AD	kasi^lili	# kasi lili, stacked
uFF9AE	kasi-loje	# kasi loje, stacked
uFF9AE	kasi+loje	# kasi loje, stacked
uFF9AE	kasi^loje	# kasi loje, stacked
uFF9AF	kasi-pimeja	# kasi pimeja, stacked
uFF9AF	kasi+pimeja	# kasi pimeja, stacked
uFF9AF	kasi^pimeja	# kasi pimeja, stacked
uFF9B0	kasi-walo	# kasi walo, stacked
uFF9B0	kasi+walo	# kasi walo, stacked
uFF9B0	kasi^walo	# kasi walo, stacked
uFF9B1	kili-jelo	# kili jelo, scaled
uFF9B1	kili+jelo	# kili jelo, scaled
uFF9B1	kili*jelo	# kili jelo, scaled
uFF9B2	kili-laso	# kili laso, scaled
uFF9B2	kili+laso	# kili laso, scaled
uFF9B2	kili*laso	# kili laso, scaled
uFF9B3	kili-lili	# kili lili, scaled
uFF9B3	kili+lili	# kili lili, scaled
uFF9B3	kili*lili	# kili lili, scaled
uFF9B4	kili-loje	# kili loje, scaled
uFF9B4	kili+loje	# kili loje, scaled
uFF9B4	kili*loje	# kili loje, scaled
uFF9B5	kili-palisa	# kili palisa, scaled
uFF9B5	kili+palisa	# kili palisa, scaled
uFF9B5	kili*palisa	# kili palisa, scaled
uFF9B6	kili-pimeja	# kili pimeja, scaled
uFF9B6	kili+pimeja	# kili pimeja, scaled
uFF9B6	kili*pimeja	# kili pimeja, scaled
uFF9B7	kili-suwi	# kili suwi, scaled
uFF9B7	kili+suwi	# kili suwi, scaled
uFF9B7	kili*suwi	# kili suwi, scaled
uFF9B8	kili-walo	# kili walo, scaled
uFF9B8	kili+walo	# kili walo, scaled
uFF9B8	kili*walo	# kili walo, scaled
uFF9B9	kiwen-jelo	# kiwen jelo, scaled
uFF9B9	kiwen+jelo	# kiwen jelo, scaled
uFF9B9	kiwen*jelo	# kiwen jelo, scaled
uFF9BA	kiwen-kasi	# kiwen kasi, scaled
uFF9BA	kiwen+kasi	# kiwen kasi, scaled
uFF9BA	kiwen*kasi	# kiwen kasi, scaled
uFF9BB	kiwen-laso	# kiwen laso, scaled
uFF9BB	kiwen+laso	# kiwen laso, scaled
